ID,choice,rt,condition_int,state,contrast_left,contrast_right,reward,trials,blocks,contrast,ecoperf,condition
11,0,408,3,1,0.855658295,0.144341705,0,11,10,1,1,3
11,0,345,3,1,0.863088708,0.136911292,0,12,10,1,1,3
11,1,438,3,0,0.146731458,0.853268542,1,13,10,1,1,3
11,0,485,3,1,0.801268431,0.198731569,0,14,10,1,1,3
11,1,552,3,0,0.134602284,0.865397716,1,15,10,1,1,3
11,1,616,3,0,0.155313877,0.844686123,1,16,10,1,1,3
11,1,799,3,1,0.855866637,0.144133363,0,17,10,1,0,3
11,1,522,3,0,0.176393933,0.823606067,1,18,10,1,1,3
11,1,401,3,0,0.153028512,0.846971488,1,19,10,1,1,3
11,1,394,3,0,0.137230404,0.862769596,1,20,10,1,1,3
11,0,434,3,1,0.825413216,0.174586784,0,21,10,1,1,3
11,1,385,3,0,0.130032539,0.869967461,1,22,10,1,1,3
11,1,382,3,0,0.173077707,0.826922293,1,23,10,1,1,3
11,1,398,3,0,0.180818826,0.819181174,1,24,10,1,1,3
11,0,323,3,1,0.810018716,0.189981284,0,25,10,1,1,3
11,1,467,2,0,0.435587536,0.564412464,1,1,11,1,1,2
11,0,384,2,1,0.562570685,0.437429315,0,2,11,1,1,2
11,1,463,2,0,0.43395757,0.56604243,1,3,11,1,1,2
11,0,368,2,1,0.574527151,0.425472849,0,4,11,1,1,2
11,0,442,2,1,0.524436343,0.475563657,0,5,11,1,1,2
11,0,472,2,1,0.503744379,0.496255621,0,6,11,1,1,2
11,0,464,2,1,0.504157199,0.495842801,0,7,11,1,1,2
11,1,475,2,0,0.470526801,0.529473199,1,8,11,1,1,2
11,1,425,2,0,0.456190392,0.543809608,1,9,11,1,1,2
11,1,396,2,0,0.456319155,0.543680845,1,10,11,1,1,2
11,0,335,2,0,0.428010478,0.571989522,1,11,11,1,0,2
11,0,566,2,1,0.501782032,0.498217968,0,12,11,1,1,2
11,1,464,2,0,0.454193193,0.545806807,1,13,11,1,1,2
11,1,465,2,0,0.478242551,0.521757449,1,14,11,1,1,2
11,1,434,2,0,0.456936248,0.543063752,1,15,11,1,1,2
11,0,444,2,1,0.548969738,0.451030262,0,16,11,1,1,2
11,0,463,2,0,0.493661436,0.506338564,1,17,11,1,0,2
11,1,528,2,0,0.459357009,0.540642991,1,18,11,1,1,2
11,0,500,2,1,0.510122453,0.489877547,0,19,11,1,1,2
11,0,473,2,1,0.512427408,0.487572592,0,20,11,1,1,2
11,0,396,2,1,0.510961167,0.489038833,0,21,11,1,1,2
11,1,468,2,0,0.441391344,0.558608656,1,22,11,1,1,2
11,0,435,2,1,0.540639257,0.459360743,0,23,11,1,1,2
11,0,477,2,1,0.521715848,0.478284152,0,24,11,1,1,2
11,0,656,2,0,0.478184972,0.521815028,1,25,11,1,0,2
11,0,1,4,0,0.191631434,0.808368566,0,1,12,0,1,4
11,0,360,4,1,0.845422859,0.154577141,1,2,12,0,0,4
11,0,403,4,1,0.8337228,0.1662772,1,3,12,0,0,4
11,1,386,4,0,0.144740258,0.855259742,0,4,12,0,0,4
11,1,353,4,0,0.160219016,0.839780984,0,5,12,0,0,4
11,0,368,4,1,0.811088264,0.188911736,1,6,12,0,0,4
11,0,372,4,1,0.828141128,0.171858872,1,7,12,0,0,4
11,1,390,4,0,0.178119198,0.821880802,0,8,12,0,0,4
11,1,338,4,1,0.822121731,0.177878269,1,9,12,0,1,4
11,0,397,4,0,0.131283268,0.868716732,0,10,12,0,1,4
11,1,381,4,1,0.821458585,0.178541415,1,11,12,0,1,4
11,0,522,4,0,0.144516865,0.855483135,0,12,12,0,1,4
11,0,507,4,0,0.183485976,0.816514024,0,13,12,0,1,4
11,1,403,4,1,0.815874511,0.184125489,1,14,12,0,1,4
11,1,458,4,1,0.855308097,0.144691903,1,15,12,0,1,4
11,0,526,4,0,0.181267885,0.818732115,0,16,12,0,1,4
11,1,411,4,1,0.829143213,0.170856787,1,17,12,0,1,4
11,0,408,4,0,0.191731822,0.808268178,0,18,12,0,1,4
11,1,447,4,1,0.864151985,0.135848015,1,19,12,0,1,4
11,0,426,4,1,0.850620305,0.149379695,1,20,12,0,0,4
11,1,487,4,1,0.87073844,0.12926156,1,21,12,0,1,4
11,0,473,4,0,0.186106498,0.813893502,0,22,12,0,1,4
11,0,485,4,0,0.133099047,0.866900953,0,23,12,0,1,4
11,0,443,4,0,0.163281178,0.836718822,0,24,12,0,1,4
11,0,502,4,0,0.179067999,0.820932001,0,25,12,0,1,4
11,1,490,4,1,0.800864042,0.199135958,0,1,13,1,0,4
11,1,443,4,0,0.170906024,0.829093976,1,2,13,1,1,4
11,1,541,4,0,0.122637108,0.877362892,1,3,13,1,1,4
11,0,525,4,1,0.872666036,0.127333964,0,4,13,1,1,4
11,1,748,4,0,0.137374264,0.862625736,1,5,13,1,1,4
11,1,526,4,0,0.132308793,0.867691207,1,6,13,1,1,4
11,1,532,4,0,0.147184845,0.852815155,1,7,13,1,1,4
11,1,495,4,0,0.165990702,0.834009298,1,8,13,1,1,4
11,1,608,4,0,0.174351352,0.825648648,1,9,13,1,1,4
11,0,818,4,1,0.839045892,0.160954108,0,10,13,1,1,4
11,1,603,4,0,0.150319747,0.849680253,1,11,13,1,1,4
11,0,473,4,1,0.825849383,0.174150617,0,12,13,1,1,4
11,0,491,4,1,0.870283196,0.129716804,0,13,13,1,1,4
11,0,446,4,1,0.826584227,0.173415773,0,14,13,1,1,4
11,1,465,4,0,0.176109031,0.823890969,1,15,13,1,1,4
11,1,495,4,0,0.137825871,0.862174129,1,16,13,1,1,4
11,0,382,4,1,0.831323162,0.168676838,0,17,13,1,1,4
11,0,473,4,1,0.815858449,0.184141551,0,18,13,1,1,4
11,0,498,4,1,0.854350927,0.145649073,0,19,13,1,1,4
11,1,499,4,0,0.154477413,0.845522587,1,20,13,1,1,4
11,1,644,4,0,0.187184153,0.812815847,1,21,13,1,1,4
11,0,655,4,1,0.85150116,0.14849884,0,22,13,1,1,4
11,0,457,4,1,0.859321985,0.140678015,0,23,13,1,1,4
11,1,517,4,0,0.124691122,0.875308878,1,24,13,1,1,4
11,0,491,4,1,0.824496001,0.175503999,0,25,13,1,1,4
11,0,523,3,1,0.850042122,0.149957878,1,1,14,0,0,3
11,1,680,3,0,0.167051752,0.832948248,0,2,14,0,0,3
11,0,540,3,1,0.860429976,0.139570024,1,3,14,0,0,3
11,1,531,3,1,0.866118593,0.133881407,1,4,14,0,1,3
11,1,532,3,1,0.823569576,0.176430424,1,5,14,0,1,3
11,0,515,3,0,0.152364126,0.847635874,0,6,14,0,1,3
11,1,517,3,0,0.185010495,0.814989505,0,7,14,0,0,3
11,0,545,3,0,0.122000787,0.877999213,0,8,14,0,1,3
11,0,469,3,0,0.173357034,0.826642966,0,9,14,0,1,3
11,0,542,3,0,0.19064097,0.80935903,0,10,14,0,1,3
11,1,529,3,1,0.855028732,0.144971268,1,11,14,0,1,3
11,1,654,3,1,0.82058866,0.17941134,1,12,14,0,1,3
11,0,597,3,0,0.185419552,0.814580448,0,13,14,0,1,3
11,1,643,3,1,0.80302365,0.19697635,1,14,14,0,1,3
11,0,845,3,0,0.192382437,0.807617563,0,15,14,0,1,3
11,1,542,3,1,0.844722674,0.155277326,1,16,14,0,1,3
11,1,750,3,0,0.14519317,0.85480683,0,17,14,0,0,3
11,1,686,3,0,0.124299588,0.875700412,0,18,14,0,0,3
11,1,540,3,0,0.144939197,0.855060803,0,19,14,0,0,3
11,0,509,3,1,0.810485366,0.189514634,1,20,14,0,0,3
11,0,491,3,1,0.82147479,0.17852521,1,21,14,0,0,3
11,0,682,3,1,0.827706242,0.172293758,1,22,14,0,0,3
11,1,646,3,0,0.152296568,0.847703432,0,23,14,0,0,3
11,1,594,3,1,0.803631121,0.196368879,1,24,14,0,1,3
11,0,551,3,1,0.861468795,0.138531205,1,25,14,0,0,3
11,1,579,1,1,0.559910969,0.440089031,0,1,15,1,0,1
11,1,685,1,1,0.569045609,0.430954391,0,2,15,1,0,1
11,0,673,1,0,0.460252692,0.539747308,1,3,15,1,0,1
11,0,672,1,1,0.565052686,0.434947314,0,4,15,1,1,1
11,1,775,1,0,0.467659093,0.532340907,1,5,15,1,1,1
11,1,777,1,0,0.446508403,0.553491597,1,6,15,1,1,1
11,0,623,1,1,0.531584132,0.468415868,0,7,15,1,1,1
11,0,798,1,0,0.465023834,0.534976166,1,8,15,1,0,1
11,1,851,1,1,0.572620075,0.427379925,0,9,15,1,0,1
11,1,737,1,1,0.541889146,0.458110854,0,10,15,1,0,1
11,1,830,1,0,0.486445701,0.513554299,1,11,15,1,1,1
11,0,634,1,1,0.506256046,0.493743954,0,12,15,1,1,1
11,0,712,1,1,0.502771855,0.497228145,0,13,15,1,1,1
11,0,735,1,1,0.570873298,0.429126702,0,14,15,1,1,1
11,1,627,1,0,0.485232812,0.514767188,1,15,15,1,1,1
11,1,648,1,1,0.572440494,0.427559506,0,16,15,1,0,1
11,0,571,1,1,0.503549171,0.496450829,0,17,15,1,1,1
11,0,628,1,0,0.479283205,0.520716795,1,18,15,1,0,1
11,0,648,1,1,0.547795125,0.452204875,0,19,15,1,1,1
11,1,634,1,0,0.446965171,0.553034829,1,20,15,1,1,1
11,0,657,1,0,0.487042717,0.512957283,1,21,15,1,0,1
11,1,566,1,0,0.46853949,0.53146051,1,22,15,1,1,1
11,1,694,1,0,0.470918074,0.529081926,1,23,15,1,1,1
11,1,776,1,0,0.486640095,0.513359905,1,24,15,1,1,1
11,0,689,1,0,0.437022062,0.562977938,1,25,15,1,0,1
11,1,663,1,0,0.482427064,0.517572936,0,1,16,0,0,1
11,0,562,1,0,0.425332942,0.574667058,0,2,16,0,1,1
11,0,680,1,1,0.530279414,0.469720586,1,3,16,0,0,1
11,1,608,1,0,0.485245853,0.514754147,0,4,16,0,0,1
11,1,664,1,0,0.43145584,0.56854416,0,5,16,0,0,1
11,0,642,1,1,0.564339708,0.435660292,1,6,16,0,0,1
11,1,823,1,1,0.534717631,0.465282369,1,7,16,0,1,1
11,1,791,1,1,0.532910843,0.467089157,1,8,16,0,1,1
11,1,771,1,1,0.537475901,0.462524099,1,9,16,0,1,1
11,0,700,1,0,0.420267413,0.579732587,0,10,16,0,1,1
11,1,639,1,0,0.458619409,0.541380591,0,11,16,0,0,1
11,0,774,1,0,0.442515206,0.557484794,0,12,16,0,1,1
11,0,816,1,1,0.527015681,0.472984319,1,13,16,0,0,1
11,1,699,1,1,0.541656462,0.458343538,1,14,16,0,1,1
11,1,873,1,0,0.476320354,0.523679646,0,15,16,0,0,1
11,1,820,1,1,0.568168835,0.431831165,1,16,16,0,1,1
11,1,795,1,1,0.504187537,0.495812463,1,17,16,0,1,1
11,0,764,1,0,0.484298822,0.515701178,0,18,16,0,1,1
11,0,668,1,1,0.518237158,0.481762842,1,19,16,0,0,1
11,0,805,1,0,0.428472558,0.571527442,0,20,16,0,1,1
11,1,739,1,1,0.536587784,0.463412216,1,21,16,0,1,1
11,0,890,1,0,0.461601189,0.538398811,0,22,16,0,1,1
11,0,843,1,0,0.487102099,0.512897901,0,23,16,0,1,1
11,1,785,1,1,0.510976401,0.489023599,1,24,16,0,1,1
11,0,750,1,0,0.44014535,0.55985465,0,25,16,0,1,1
12,1,711.670000000158,2,1,0.575268431144448,0.424731568855551,0,1,1,1,0,2
12,1,616.594999999972,2,0,0.462646188597919,0.53735381140208,1,2,1,1,1,2
12,1,526.315000000177,2,0,0.426294216384432,0.573705783615567,1,3,1,1,1,2
12,0,421.725000000325,2,1,0.569018175621754,0.430981824378245,0,4,1,1,1,2
