ID,choice,rt,choice_cond,state,contrast_left,contrast_right,mu,correct,trials,blocks,contrast,congruence,con_diff_choice,ecoperf,mu_congruence,condition,actual_mu,est_error
405,0,"[444.7000000476837]",3,0,0.0926653802594957,0.907334619740504,0.5,1,15,3,1,0,0.814669239481008,0,0.5,3,0.7,0.2
405,0,"[514.6000000238419]",3,1,0.85310944763215,0.146890552367849,0.91,1,16,3,1,0,0.706218895264301,1,0.09,3,0.7,0.61
405,0,"[403.89999997615814]",3,1,0.933714434342212,0.0662855656577877,NaN,0,17,3,1,0,0.867428868684424,1,NaN,3,0.7,NaN
405,1,"[434.2999999523163]",3,1,0.856480547840629,0.143519452159371,0.5,0,18,3,1,0,0.712961095681258,0,0.5,3,0.7,0.2
405,0,"[603.9000000953674]",3,0,0.109638599979487,0.890361400020513,0.3,0,19,3,1,0,0.780722800041026,0,0.7,3,0.7,0
405,1,"[541]",3,0,0.0914563165096046,0.908543683490395,0.33,1,20,3,1,0,0.81708736698079,1,0.67,3,0.7,0.0299999999999999
405,0,"[489]",3,0,0.0898458073172485,0.910154192682751,0.37,0,21,3,1,0,0.820308385365502,0,0.63,3,0.7,0.07
405,1,"[653.5]",3,0,0.102371889827897,0.897628110172102,0.37,1,22,3,1,0,0.795256220344205,1,0.63,3,0.7,0.07
405,1,"[580.7999999523163]",3,1,0.868707451967797,0.131292548032202,0.56,1,23,3,1,0,0.737414903935595,0,0.44,3,0.7,0.26
405,1,"[484.40000009536743]",3,0,0.0614940727411472,0.938505927258852,0.29,1,24,3,1,0,0.877011854517705,1,0.71,3,0.7,0.01
405,0,"[373.60000002384186]",3,1,0.855776288931026,0.144223711068973,0.38,1,25,3,1,0,0.711552577862053,1,0.62,3,0.7,0.08
405,0,"[738.6000000238419]",1,1,0.566033747804537,0.433966252195462,0.35,1,1,4,1,0,0.132067495609075,1,0.65,1,0.7,0.0499999999999999
405,0,"[583.2999999523163]",1,1,0.556321461822546,0.443678538177453,0.56,0,2,4,1,0,0.112642923645093,1,0.44,1,0.7,0.26
405,1,"[642.7000000476837]",1,0,0.459076209029441,0.540923790970558,0.62,1,3,4,1,0,0.081847581941117,1,0.38,1,0.7,0.32
405,0,"[736.5]",1,0,0.459316796846385,0.540683203153614,0.6,1,4,4,1,0,0.081366406307229,0,0.4,1,0.7,0.3
405,0,"[613.6000000238419]",1,0,0.466224714062436,0.533775285937563,0.5,0,5,4,1,0,0.067550571875127,0,0.5,1,0.7,0.2
405,1,"[882.2000000476837]",1,1,0.515660370433748,0.484339629566252,0.57,0,6,4,1,0,0.031320740867496,0,0.43,1,0.7,0.27
405,1,"[794.1000000238419]",1,0,0.496099453774119,0.50390054622588,0.62,1,7,4,1,0,0.00780109245176097,1,0.38,1,0.7,0.32
405,0,"[651]",1,1,0.540334030675457,0.459665969324542,0.44,1,8,4,1,0,0.080668061350915,1,0.56,1,0.7,0.14
405,1,"[633.3999999761581]",1,1,0.574258019745144,0.425741980254855,0.57,1,9,4,1,0,0.148516039490289,0,0.43,1,0.7,0.27
405,0,"[477.5]",1,1,0.581016481958506,0.418983518041493,0.61,1,10,4,1,0,0.162032963917013,1,0.39,1,0.7,0.31
405,0,"[966.2000000476837]",1,1,0.577221664265482,0.422778335734517,0.33,1,11,4,1,0,0.154443328530965,1,0.67,1,0.7,0.0299999999999999
405,1,"[835.3999999761581]",1,1,0.584468577194705,0.415531422805294,0.43,0,12,4,1,0,0.168937154389411,0,0.57,1,0.7,0.13
405,1,"[797.7999999523163]",1,1,0.530449036526571,0.469550963473428,0.75,1,13,4,1,0,0.060898073053143,0,0.25,1,0.7,0.45
405,1,"[575.7000000476837]",1,0,0.425764388699954,0.574235611300045,0.42,1,14,4,1,0,0.148471222600091,1,0.58,1,0.7,0.12
405,0,"[669]",1,0,0.444966932233388,0.555033067766611,0.69,1,15,4,1,0,0.110066135533223,0,0.31,1,0.7,0.39
405,0,"[924.7000000476837]",1,0,0.462068637276411,0.537931362723588,0.32,0,16,4,1,0,0.075862725447177,0,0.68,1,0.7,0.0199999999999999
